"CoreId","Identifier","type","rightsHolder","creator","accessURI","format","variantLiteral","license"
"45689662@OBS","https://observation.org/photos/999973/","StillImage","Eric Brandes","Eric Brandes","https://observation.org/photos/999973.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113396500@OBS","https://observation.org/photos/9999733/","StillImage","Otto Kwak","Otto Kwak","https://observation.org/photos/9999733.jpg","image/jpeg","Best Quality","CC0"
"106060221@OBS","https://observation.org/photos/9999730/","StillImage","Harm Alberts","Harm Alberts","https://observation.org/photos/9999730.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"106060221@OBS","https://observation.org/photos/9999729/","StillImage","Harm Alberts","Harm Alberts","https://observation.org/photos/9999729.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113396382@OBS","https://observation.org/photos/9999726/","StillImage","Luc Oteman","Luc Oteman","https://observation.org/photos/9999726.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113396224@OBS","https://observation.org/photos/9999723/","StillImage","Harm Alberts","Harm Alberts","https://observation.org/photos/9999723.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113396382@OBS","https://observation.org/photos/9999722/","StillImage","Luc Oteman","Luc Oteman","https://observation.org/photos/9999722.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113396422@OBS","https://observation.org/photos/9999718/","StillImage","Otto Kwak","Otto Kwak","https://observation.org/photos/9999718.jpg","image/jpeg","Best Quality","CC0"
"113396224@OBS","https://observation.org/photos/9999713/","StillImage","Harm Alberts","Harm Alberts","https://observation.org/photos/9999713.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113396224@OBS","https://observation.org/photos/9999712/","StillImage","Harm Alberts","Harm Alberts","https://observation.org/photos/9999712.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"45689621@OBS","https://observation.org/photos/999970/","StillImage","Bert Zeijlmaker","Bert Zeijlmaker","https://observation.org/photos/999970.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
